microchip;species;sex;size;potentDangerous;neighborhood
9,78E+13;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MUY GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;MUY GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;SI;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;SI;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;SI;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;SI;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MINIATURA;SI;USAQUEN
9,00E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;FELINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;SI;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;SI;USAQUEN
9,00E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;SI;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;SI;USAQUEN
9,00E+14;FELINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;SI;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;FELINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;SI;USAQUEN
9,00E+14;FELINO;HEMBRA;PEQUE�O;SI;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;SI;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
900250AS000596778;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;MACHO;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;SI;USAQUEN
9,00E+14;FELINO;MACHO;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,00E+14;FELINO;MACHO;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;FELINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;SI;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9002FSA50000599210;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;SI;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;FELINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;SI;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;SI;USAQUEN
9,00E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;FELINO;MACHO;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,00E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,00E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,18E+14;CANINO;MACHO;MUY GRANDE;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;FELINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
94100001fASF4590718;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;FELINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,41E+14;FELINO;MACHO;GRANDE;NO;USAQUEN
9,41E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;PEQUE�O;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
9,41E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,41E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,41E+14;CANINO;MACHO;PEQUE�O;NO;USAQUEN
9,41E+14;FELINO;HEMBRA;MINIATURA;NO;USAQUEN
9,41E+14;FELINO;MACHO;MINIATURA;NO;USAQUEN
9,41E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,41E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,41E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
9,41E+14;CANINO;MACHO;MINIATURA;NO;USAQUEN
